horsepower,curb-weight,engine-size,highway-mpg,price
111,2548,130,27,13495.0
111,2548,130,27,16500.0
154,2823,152,26,16500.0
102,2337,109,30,13950.0
115,2824,136,22,17450.0
110,2507,136,25,15250.0
110,2844,136,25,17710.0
110,2954,136,25,18920.0
140,3086,131,20,23875.0
101,2395,108,29,16430.0
101,2395,108,29,16925.0
121,2710,164,28,20970.0
121,2765,164,28,21105.0
121,3055,164,25,24565.0
182,3230,209,22,30760.0
182,3380,209,22,41315.0
182,3505,209,20,36880.0
48,1488,61,53,5151.0
70,1874,90,43,6295.0
70,1909,90,43,6575.0
68,1876,90,41,5572.0
68,1876,90,38,6377.0
102,2128,98,30,7957.0
68,1967,90,38,6229.0
68,1989,90,38,6692.0
68,1989,90,38,7609.0
102,2191,98,30,8558.0
88,2535,122,30,8921.0
145,2811,156,24,12964.0
58,1713,92,54,6479.0
76,1819,92,38,6855.0
60,1837,79,42,5399.0
76,1940,92,34,6529.0
76,1956,92,34,7129.0
76,2010,92,34,7295.0
76,2024,92,34,7295.0
86,2236,110,33,7895.0
86,2289,110,33,9095.0
86,2304,110,33,8845.0
86,2372,110,33,10295.0
101,2465,110,28,12945.0
100,2293,110,31,10345.0
78,2337,111,29,6785.0
90,2734,119,29,11048.0
176,4066,258,19,32250.0
176,4066,258,19,35550.0
262,3950,326,17,36000.0
68,1890,91,31,5195.0
68,1900,91,38,6095.0
68,1905,91,38,6795.0
68,1945,91,38,6695.0
68,1950,91,38,7395.0
101,2380,70,23,10945.0
101,2380,70,23,11845.0
101,2385,70,23,13645.0
135,2500,80,23,15645.0
84,2385,122,32,8845.0
84,2410,122,32,8495.0
84,2385,122,32,10595.0
84,2410,122,32,10245.0
64,2443,122,42,10795.0
84,2425,122,32,11245.0
120,2670,140,27,18280.0
72,2700,134,39,18344.0
123,3515,183,25,25552.0
123,3750,183,25,28248.0
123,3495,183,25,28176.0
123,3770,183,25,31600.0
155,3740,234,18,34184.0
155,3685,234,18,35056.0
184,3900,308,16,40960.0
184,3715,304,16,45400.0
175,2910,140,24,16503.0
68,1918,92,41,5389.0
68,1944,92,38,6189.0
68,2004,92,38,6669.0
102,2145,98,30,7689.0
116,2370,110,30,9959.0
88,2328,122,32,8499.0
145,2833,156,24,12629.0
145,2921,156,24,14869.0
145,2926,156,24,14489.0
88,2365,122,32,6989.0
88,2405,122,32,8189.0
116,2403,110,30,9279.0
116,2403,110,30,9279.0
69,1889,97,37,5499.0
55,2017,103,50,7099.0
69,1918,97,37,6649.0
69,1938,97,37,6849.0
69,2024,97,37,7349.0
69,1951,97,37,7299.0
69,2028,97,37,7799.0
69,1971,97,37,7499.0
69,2037,97,37,7999.0
69,2008,97,37,8249.0
97,2324,120,34,8949.0
97,2302,120,34,9549.0
152,3095,181,22,13499.0
152,3296,181,22,14399.0
152,3060,181,25,13499.0
160,3071,181,25,17199.0
200,3139,181,23,19699.0
160,3139,181,25,18399.0
97,3020,120,24,11900.0
95,3197,152,33,13200.0
97,3230,120,24,12440.0
95,3430,152,25,13860.0
95,3075,120,24,15580.0
95,3252,152,33,16900.0
95,3285,120,24,16695.0
95,3485,152,25,17075.0
97,3075,120,24,16630.0
95,3252,152,33,17950.0
142,3130,134,24,18150.0
68,1918,90,41,5572.0
102,2128,98,30,7957.0
68,1967,90,38,6229.0
68,1989,90,38,6692.0
68,2191,98,38,7609.0
88,2535,122,30,8921.0
145,2818,156,24,12764.0
143,2778,151,27,22018.0
207,2756,194,25,32528.0
207,2756,194,25,34028.0
207,2800,194,25,37028.0
104,2579,132,31,9295.0
104,2460,132,31,9895.0
110,2658,121,28,11850.0
110,2695,121,28,12170.0
110,2707,121,28,15040.0
110,2758,121,28,15510.0
160,2808,121,26,18150.0
160,2847,121,26,18620.0
69,2050,97,36,5118.0
73,2120,108,31,7053.0
73,2240,108,31,7603.0
82,2145,108,37,7126.0
82,2190,108,33,7775.0
94,2340,108,32,9960.0
82,2385,108,25,9233.0
111,2510,108,29,11259.0
82,2290,108,32,7463.0
94,2455,108,31,10198.0
82,2420,108,29,8013.0
111,2650,108,23,11694.0
62,1985,92,39,5348.0
62,2040,92,38,6338.0
62,2015,92,38,6488.0
62,2280,92,37,6918.0
62,2290,92,32,7898.0
62,3110,92,32,8778.0
70,2081,98,37,6938.0
70,2109,98,37,7198.0
56,2275,110,36,7898.0
56,2275,110,47,7788.0
70,2094,98,47,7738.0
70,2122,98,34,8358.0
70,2140,98,34,9258.0
70,2169,98,34,8058.0
70,2204,98,34,8238.0
112,2265,98,29,9298.0
112,2300,98,29,9538.0
116,2540,146,30,8449.0
116,2536,146,30,9639.0
116,2551,146,30,9989.0
116,2679,146,30,11199.0
116,2714,146,30,11549.0
116,2975,146,30,17669.0
92,2326,122,34,8948.0
73,2480,110,33,10698.0
92,2414,122,32,9988.0
92,2414,122,32,10898.0
92,2458,122,32,11248.0
161,2976,171,24,16558.0
161,3016,171,24,15998.0
156,3131,171,24,15690.0
156,3151,161,24,15750.0
52,2261,97,46,7775.0
85,2209,109,34,7975.0
52,2264,97,46,7995.0
85,2212,109,34,8195.0
85,2275,109,34,8495.0
68,2319,97,42,9495.0
100,2300,109,32,9995.0
90,2254,109,29,11595.0
90,2221,109,29,9980.0
110,2661,136,24,13295.0
68,2579,97,38,13845.0
88,2563,109,31,12290.0
114,2912,141,28,12940.0
114,3034,141,28,13415.0
114,2935,141,28,15985.0
114,3042,141,28,16515.0
162,3045,130,22,18420.0
162,3157,130,22,18950.0
114,2952,141,28,16845.0
160,3049,141,25,19045.0
134,3012,173,23,21485.0
106,3217,145,27,22470.0
114,3062,141,25,22625.0
